,rating,reviewer_name,review_title,review_rating,review_date,review_location,review_content
11,4.9,Jeremy W.,iCue software has issues with this RAM,4,"May 21, 2019",the United States,Update: 31Jul2019
12,4.9,Jesse Guthrie,"Beautiful, Well Built Memory accept for a few iCue annoying sound",3,"April 18, 2020",the United States,"There is not much I can say for the memory itself, it's well built and crushes the competition. As for the software, that is a different story. I have an ASUS current motherboard and the Corsair iCue software requires that I have ASUS Aura installed so it can control Aura RGB lighting. Well, if you want everything to work well together then you better have all RGB hardware baring the Corsair name. If you don't then good luck my friend because you are in for annoyances and difficult to find solutions. First noticeable annoyance is a hardware disconnect sound every time the iCue software starts. Secondly you will not want iCue to control Asus Aura devices if you have other name brand products in your system (Like a Coolermaster AIO cooler). Other name brand RGB product's lighting can freeze up especially if they use a 5V addressable headers on the motherboard. In the end I could not get rid of the Disconnect sound but I was able to disconnect iCue software from controlling ASUS Aura devices by deleting the ASUS plugin from the Corsair Plugins folder. If they fix their software and give clear easy instructions that are easily accessible and easy to read then I will gladly give a 5 star rating."
13,4.9,Иiск Р,128gb of ram? In only 4 slots? Heck yeah!,5,"May 10, 2020",the United States,The media could not be loaded.
14,4.9,Dane Brown,Amazing,5,"January 30, 2020",the United States,Perhaps I was lucky but its running stable on AMD x570 at 3600mhz CL16 (hynix chip)
15,4.9,RK,Excellent LEDs,5,"July 24, 2020",the United States,I am writing this review just to let everyone know that they don't turn off when pc sleeps but if you hibernate the PC.. they do turn off and come back on when you wake up the PC..
16,4.9,Q,Upgrade your bios before!,5,"August 5, 2020",the United States,"x570 MSI MEG ACE board. Was running bios 18 and it wouldn’t do 3600mhz. Upgraded bios to 19, worked perfectly. 128gb for a Ryzen 12c workstation is amazing. Rendering in AE reconfigured for it mind blowingly fast. I do use a 3rd party script, BGRENDER MAX, but this ram makes it possible."
17,4.9,Agustin,I feel like a cool kid,5,"August 25, 2021",the United States,The media could not be loaded.
18,4.9,ali,Do Not Buy for Asus Prime Z-390 - A,1,"September 24, 2020",the United States,I have really never had any build give me this much pain.
19,4.9,Wild Willy,requires overclocking and non stable boot when running at advertised speeds,2,"May 9, 2021",the United States,"I purchased 4x8Gb 3200 thinking they would run 3200 out of the box, but they do not.  You have to overclock them like using the XMP1 to get 3200 out of them, and then my system will sometimes not boot.  So it is not very stable at the advertised 3200 speed.  CPU-Z says it is DDR-2132 memory even though I bought 3200 memory.  I don't know if this is normal or not, but I do have to run either XMP1 or XMP2 to get the 3200 speed, I can also just over clock the memory to 3200 to get the advertised speed, but you will not get it out of the box, and in my case running it at 3200 makes it unstable on boot.  I have not had any problems after boot running it at 3200, but it will not always boot."
20,4.9,Connor White,Really good ram sticks,5,"November 3, 2020",the United States,The media could not be loaded.
21,4.9,Chris Campbell,"runs great, gets hot tho",4,"September 7, 2020",the United States,"Great product, runs hot tho."
22,4.9,Reader,It looks awesome!,5,"January 26, 2021",the United States,The media could not be loaded.
23,4.9,Caroline,"Great Colors, Great Performance",5,"November 9, 2020",the United States,"It's RAM, so I feel like there's only so much you can really say, but I love this particular brand so much.  Aesthetic wise, it's only beat by one other in my opinion, and price wise it just cannot be beat.  The RGB aspect is incredibly easy to program and change, I've set up several different profiles that all sync and change on a single click with other corsair tech that is in this build."
24,4.9,Dennis,just buy it,5,"June 3, 2020",the United States,"Works as advertised, no issues. Not a gamer so I thought the lights would be a distraction. I set them up to give a visual indicator of system temp using Corsiar's software and I really like the result."
25,4.9,Khristopher,Eye candy with some caveats,4,"January 4, 2022",the United States,The media could not be loaded.
26,4.9,RJ Cormack,Great for Creators!,5,"October 18, 2021",the United States,"I purchased 2 sets and created my own matching 32GB set (4x8GB) DDR4 3200MHz Corsair Vengeance RGB PRO Desktop Memory. Check your BIOS! They don't always auto detect the right settings, I had to manually select 3200MHz. Nothing I can't do now, scan a 20Gb image resolution on the flatbed scanner, Photoshop anything, edit videos in Premier Pro, I can create anything and it will save or render it quickly. Stock CPU cooler and 3 120mm case fans, no liquid cooling, NO overnight sessions anymore!"
27,4.9,Chris,3 of 4 had major failures in memtest86,1,"October 22, 2021",the United States,"I like these Dimms, I really do."
28,4.9,James G.,"Expensive, Low Tech, but all Natural.",5,"July 24, 2019",the United States,5 Stars because I know Corsair is good memory.
29,4.9,ONESFUTURE,DO ELECTRIC SHEEP DREAM OF RGB?,4,"July 15, 2019",the United States,"Yes, the technical specs of these are great but you can turn to amazingly informational reviews on certain video sharing sites for that."
30,4.9,Rick,Speed and Memory,5,"July 10, 2020",the United States,"RAM is often overlooked at being the root cause of a slow PC but it's honestly one of the easiest things to upgrade and gain performance from. Great RGB colors, plenty of customizations with iCue software, works fine out of the box, paired with MSI X570 motherboard + Ryzen 5 3600, enabled XMP in the bios & this thing flies @ full speed."
31,4.9,Nyriku,3200 has to run at 2933,4,"April 30, 2021",the United States,"Rgb looks nice can be set with mother board mystic light. The only issue  that I'm having is all 4 dimms will not run ,at 3200 speed. Motherboard msi b 450. Bios is up to date as is windows drivers etc. The xmp will not allow all 4 dimms to be clocked  at 2933, instead  had to be dialed in manually. Worked on this issue  for few  hours to end up with with 2933 memory speed stable. Changing timings voltage had no affect.2 dimms will however run at 3200 under xmp profile. Same voltages and timings. cpu is ryzen 2600 x. All chipset drivers are up to date also. Windows was reinstalled just to be sure  that was not the issue. As if building a new system and the reinstall of all software etc over the next 4 hours.. The end result was the same . There been  no issue since. Install 4/20/21."
32,4.9,Rodrigo,"Micron B-Die, stable at C16",5,"September 20, 2020",the United States,"For anyone curious, mine were Micron B-Die and had no problem running at C16 on an X570 Crosshair VIII Hero, using voltage and everything else at D.O.C.P.. Had 4 sticks plugged in."
33,4.9,Amazon Customer,"Great RAM, but I hate that I am forced to pay for RGB that I don't want.",5,"July 28, 2020",the United States,"The first thing I did once installed, was turn of all the RGB feature.  Other than that, the RAM has been excellent.  Video Editing now has a ton of headroom for rendering in RAM.  My DAW work has also improved, as all of my virtual instruments load into RAM.  128GB felt like overkill for me as I purchased, but between editing 6K footage and composing songs with a lot of instruments, these have turned out to be perfect!"
34,4.9,A Customer,"Fantastic Ram, beautiful RGB. Endless possibilities.",5,"January 13, 2021",the United States,"64GB Ram never looked so good. It looks great, temps are great, and no issues with cable management. Cost is perfect in this range."
35,4.9,luis,Lights stopped working after a year.,1,"June 27, 2021",the United States,"I bought a total of 4, 2 sets of 2. But after a couple of months the RGB lights stopped worked. The weird part is that it didn't happen all at once. It would start off by being one of them not working properly. And then another one would start doing the same. After a while all of them just turned off and didn't turn back on. But it happened slowly, one by one they started to stop lighting up. At first I thought it was my motherboard. So I replaced the ram with another set of Rams with lights and they worked flawlessly. So it wasn't my motherboard. It was these Rams I bought."
36,4.9,Christopher Grow,Its a crap shoot if what you get will run at the rated speed with XMS enabled.,1,"July 19, 2021",the United States,I ordered this product initially in black for a Z590 board and the part worked perfectly.
37,4.9,Juniorverse,Set memory profile to DOCP in AMD BIOS to get full speeds,5,"June 20, 2021",the United States,I am using this in my new Ryzen 7 / ASUS ROG Strix X570-E motherboard.  I had to manually set the BIOS of the motherboard to use the DOCP memory profile to get it to run at full 3600 Mhz speed because it was running at a much slower speed before I did.  It has been flawless since then.  Works great and got it at a great price.
38,4.9,S Beck,"Much Shiny, Much Tall",3,"June 16, 2020",the United States,"If you use an air cooler or have other obstructions around your RAM slots definitely check your clearances first. Otherwise it's very very shiny. I did have to uninstall and reinstall iCue to get this working and (hopefully I get to update this with a software update.., hint hint, poke poke, looking at you Corsair) at this time the RAM does not turn off, dim or have any options whatsoever for what the lighting is doing while the PC is asleep or locked out. I have it running at XMP speeds in my X99 system and it's performing as well as I can expect without having torture tested anything yet. I'm happy with my purchase and I'd like to be able to give this more stars, but if you're going to charge a premium for extras they should be premium features and while it looks beautiful, functionally the lighting and/or software still need some development."
39,4.9,hypersphere,Works @3200 MHz MSI TRX40 Pro Wifi AMD 3970X Running Linux Mint 20.1 Xfce,5,"June 2, 2021",the United States,"I needed to upgrade the RAM in my workstation (MSI TRX40 Pro Wifi motherboard, AMD 3970X CPU, Nvidia 3090 GPU, OS = Linux Mint 20.1 64-bit Xfce). I did not really want RGB LEDs, but during the installation, I found this feature to be helpful because when the machine was booted, I could instantly see which of the DIMMS were illuminated. In fact, I needed to re-seat the RAM a few times to get all of the DIMMs to register. At first, the machine set the frequency to 2133 MHz, but after going into the UEFI BIOS and manually setting the frequency to 3200 MHz, DRAM voltage to 1.35 volts, and timings to 16-18-18-36, I was able to run the RAM at its rated speed. Installation was relatively easy and considering current prices, this RAM was a fairly good value for the money."
40,4.9,Mirela,Good when it works.,4,"August 16, 2020",the United States,"A bit taller than other DDR 4, customized where one of the cpu fans sat in my Be Quiet case to accommodate them."
41,4.9,Austin David Lilly,Wonderful and looks great too!,5,"December 17, 2019",the United States,Appears to function as should and looks great too! Excellent value for money.
42,4.9,Eric S,Great Product!,5,"April 13, 2021",the United States,"I bought these for my new gaming rig because the other ones I ordered were too bulky to fit (interfered with the CPU Liquid Cooling lines).  These popped right in and worked with zero issues.  I've done some stress tests and I wasn't expecting anything to fail, but these DIMMs work really well.  I highly recommend them!"
43,4.9,Christopher,Looks and works great,4,"April 13, 2021",the United States,"Upon receiving the kit, my new system would constantly hard restart itself, only to find one of the sticks was dead, even though it showed a full 32gb in windows. Went through the whole RMA process through Corsair which was very simple and received my new kit, all in all just under two weeks. Corsair handled everything in a timely manner and I am extremely satisfied. The only part less than ideal was the whole kit had to be sent back, despite only one stick having failed. This left me without a working system for two weeks."
44,4.9,Bryan S.,Speed!!,5,"December 12, 2020",the United States,"with this much memory, i finally wont need to upgrade for many years.......came super fast, installed easy, everything worked easy as any stick i have ever used.....simple.  very colorful as well, blends right in with the rest of mobo colors and fans, keyboard, mouse......all in all an excellent long overdue upgrade.......now if only i could locate an nvidia 3080 card......life would be grand.  Dont hesitate if you need memory and can afford this bundle.....you wont be sorry.  Not even once.  Bring on the virtual world!!"
45,4.9,2sofakinggreat,She Wanted Me to Light Up Her Life,5,"September 18, 2021",the United States,I fried my wife's prior motherboard (AsRock Z77 Extreme) and CPU (i7-3770). The MB used DDR3 RAM so I needed to buy new RAM when I bought the MB and CPU. I ended up going with a Ryzen 5 5600G on an ASUS TUF Gaming B550-Plus.
46,4.9,Ronald Bradford,"Bright, colorful, FAST.",5,"November 16, 2020",the United States,The media could not be loaded.
47,4.9,Amazon Customer,Easy,5,"April 30, 2020",the United States,"Plug and play, didn’t need to do anything in the bios. Running and AMD 7"
48,4.9,Che Crawford,Roll the dice - you may just end up with the elusive Samsung B-die variant!,5,"November 26, 2019",the United States,"Basic review: Bought these when they were on sale for $69.99 and couldn't be happier. These work spectacularly out of the box, just as one would expect from a Corsair product. The lighting is truly mesmerizing - they look like sticks of candy! Customizability is excellent, so if you're buying these to spruce up your case you won't be disappointed."
49,4.9,Steven,Micron Rev.B,5,"March 15, 2021",the United States,"It's only 3200cl16, not the fastest. I got Micron rev.b die on my kit but ymmv. I ran memtest86 overnight with the whole 32gb kit and it passed 0 errors. If you are upgrading an existing pc that has iCue, since this model is so new, it wont show up unless you update it."
50,4.9,wendu,DOA Dimm,1,"April 13, 2021",the United States,"1st picture shows initial install, I thought it was the RGB being dead, ok I can live with that no problem. 2nd picture goes into Icue sure enough the dim in a2 is not even recognized. 3rd picture windows 10 shows 8gb of ram."
51,4.9,Geffrey beezos,Doesnt work with b450 mobos,1,"December 14, 2021",the United States,After a year of having these sticks they worked wonderfully. Now after a software update from icue they're flashing red and unable to be configured from icue. I've done everything under the sun to fix it from reinstalling icue to reinstalling windows. There is nowhere to download old drivers/firmware on the corsair site short of opening a ticket which you need the product number for....so just to open a ticket you have to remove the ram and copy the number down...hopefully the computer you're using isnt the only way to open a ticket or you're screwed.
52,4.9,Bethany Moore,Works great with my set up,5,"March 20, 2021",the United States,"Going on about 2 months now and they are still working fabulously after a super easy install. When we go to upgrade, instead of buying a completely different set, we plan on buying another set of these to fill our remaining 2 slots of RAM. We play VR with no problem, RPGs with no issues, and often tend to have multiple things going at once which these handle with absolutely no problem. As for the RGB portion, I haven't messed with it yet since my liquid cooler, motherboard, and all 10 of my fans are also RGB but they run on a different program than the RAM does. So that was literally the only thing I thought was odd about them, that and they default to rotate rainbow."
53,4.9,Mike D.,"Tall and Colorful, control via iCue and the RAM works too",4,"February 3, 2021",the United States,"Working from home?  Is your desktop not giving you sufficient motivation?  Not enough warmth in your life?  RGB is the answer!  For almost the same price a normal DDR4 3200 you can get 64GB of memory goodness in two sticks.  The package is detected at 3200Mhz for DOCP as dual-channel running at CL16.  It is not the fastest RAM, but it is one of the taller ones.  It may not clear with Air Coolers, so AIOs or waterloops are the best.  Even with an AIO the USB plugs come very close to the 2nd stick which skips of the empty ones.  Effects can be controlled via Corsair iCUE, despite eating 5% of your CPU, the mesmerizing Rainbow mode provides a fascinating distraction outside of your monitor."
54,4.9,RJC,simply the best blows away G Skill trident,5,"May 14, 2019",the United States,"I decided to go with an all corsair build so I purchased the corair pro 16 gb 3200 MHz kit to replace the G Skill trident z rgb kit I had in my pc, the g skill is quality ram and looked nice but you cant believe the color difference. I am so glad I did, the corsair kits leds are so more vibrant in color amazing also have 10 leds per dim where G skill has 5. I was a little worried because I have an Asus z370 Tuf gaming plus motherboard and when I checked Asus QVL list for that motherboard the Corsair kit wasn't listed. Corsair advertised compatible with intel 100, 200 and 300 series MBs so I took a gamble. Installed pc fired right up. Went into the bios enabled the XMP profile and it is running dual channel at 3200MHZ no problem. Also the Corsair I Que software to control the leds is SO MUCH BETTER than Aura sync, no bugs. And I can sync with my corsair fans. I ordered the light enhancement kit so I have four dims right away. This is simply the best looking rgb ram on the market and corsair quality worth every penny."
55,4.9,Sawyer Halbritter,Unable to hit the 3600mhz mark,4,"March 31, 2021",the United States,"I don't know if this is an issue with the ram, or possibly the CPU and motherboard I'm pairing it with. I'm currently running a Ryzen 5 5600X on an Asrock Phantom gaming 4s mobo and can only clock my ram speeds up to 3200mhz without my computer crashing and removing any ram overclock I had previously applied."
56,4.9,Avalir,Great Ram But the Corsair Software Doesn't Work for these,4,"February 24, 2019",the United States,"So I'm what you might call an RGB Fiend. I love the customization that it adds to any computer case. Now I'm also a fan of Asus Aura, which yes I know, corsair products typically don't work with Aura. Well here is the downside. These particular Ram sticks don't even work with their own manufacturer's software. I downloaded both Corsair link and corsair iCue. They show up in Link but do not show up in iCue which is where you have to go to customize the RGB lights, Kinda looks tacky with those stuck in a fast rainbow while all my other RGB's in the case are on a slower pattern. May end up giving these to my wife for her rig and getting myself something that is controllable by Aura. outside of the software issue though, these RAM sticks awesome, thats the whole reason I went with Corsair."
57,4.9,Amazon Customer,Great Ram for a x390 aorus master,5,"February 26, 2020",the United States,Even though  the RAM was not on the approved list I took a chance based on a user experience.  It works great with no issues.
58,4.9,Austin E.,Beautiful Centerpiece In My Case,5,"December 8, 2019",the United States,"Such a gorgeous addition to my case. These were absolutely worth the extra money for the RGB because they’ve surely become the centerpiece in my case and I couldn’t be happier. With that, Corsair’s software iCUE is easily my favorite RGB software on the market as it lets you go wild with customization. I’ve even noticed the lighting changes during certain games and that was such a cool surprise. Not only that, but I’ve never had any issues with the RAM. Couldn’t ask for more!"
59,4.9,Valentina,Keeps crashing,1,"January 20, 2021",the United States,"Are you serious? This RAM is faulty. It can't even support games like Overwatch and even made my minecraft crash. I thought it was my power supply at first, so i upgraded it. No. It was these rams. I figured it out because my boyfriend took my old ram, and he gave me his ram. He installed  my old rams into his, and his computer starting crashing too."
60,4.9,Camas D.,"Great at stock, issues with XMP and OC",5,"May 2, 2020",the United States,"Edit; 1 bios update later (newest version) and the issue is fixed. Looks like there was a memory issue on the bios I was running, I have these now always on XMP with no issues!!"
61,4.9,Larkin,"Got a total of 4 kits, everyone of them had an issue and would not run at rated speeds",1,"February 1, 2020",the United States,"I ordered 2 kits of 16gb 3200. First set would not run at 3200 at all. Pulled one kit out of PC and tested the kits individually. Would boot at 3200 but would not open any games without them crashing almost immediately. Sent those kits back and had Amazon send me two new ones. These kits lasted together for about 30 minutes with no issues at XMP settings.  Stress tested on prime95 large ffts( or whichever one tested the RAM) and it went for 15 minutes with no errors. Then played Star Wars BF2 for another 15 minutes perfectly fine. Then out of nowhere, blue screen, Computer rebooted and as soon as I signed in, blue screen, rebooted again and as soon as login screen loaded, blue screen again.  Then windows went into recovery mode. So I pulled out the ram and put my older corsair vengeance kit in that runs at 3600MHZ and no issues, I also have another vengeance kit in another computer at 3200 that is the same specs as these white rgb ones and it runs perfect at XMP. Both kits also run perfectly fine together in the same computer at 3200mhz CL16, so I know my motherboard and cpu can handle 4 sticks 32GB total at 3200mhz no problem. So I do not know what corsair is doing to pass these kits off as ""3200mhz"" but clearly they are no longer capable of actually running at those speeds with whatever batch I ended up getting. Shows that corsair doesn't actually test the ram for long enough. Sending these ones back for a refund and ordering a g skill kit to try that out."
62,4.9,NorthStarPC,What You Would Expect From Corsair,5,"July 17, 2020",the United States,"No problems with XMP to the advertised 3200MHz. Performance and overclocking potential also depends on whether you win the silicon lottery or not. Purchased two sets and one was Ver. 4.32 Samsung C-Die and one was Ver 5.32 SK Hynix C-Die. Great RGB as well if that's what you are looking for, not to mention it syncs up perfectly with Corsair iCUE and other Corsair products with lighting. If you are not looking for RGB, I would skip these and just buy the $20 cheaper LPX model without RGB or if you do not need Corsair to sync with other components as $85 is a bit high for 3200MHz."
63,4.9,beng,"Great performance, bad cosmetics (Edited)",5,"February 18, 2019",the United States,"I chose this RAM for my Ryzen 7 build and performance-wise everything worked out nicely. I had to go into the bios and clock it to the advertised 3200mhz, which worked perfectly fine no problems. My only HUGE complaint is that the RAM stopped showing up in iCue after a BIOS update. I know, I know it's not the rams fault but this brings me to my next issue. It DOESN'T sync with Asus Aura as well so I have to look at RAM that are always out of sync with each other. This really irritates me."
64,4.9,Peter T.,Pretty and fast memory kits.,5,"August 18, 2020",the United States,XMP to 3600. Super bright and colorful. It a nice bling for memory.
65,4.9,Giovannie Lizarraga,All I can Say is They are good,5,"October 11, 2020",the United States,"These are out of stock now and I feel evil, bought them for 90 bucks which is awesome, and I see people selling them for 200 now so that’s cool, they work as advertised, just make sure your motherboard can support them, did have some issues with Ique but they work just fine."
66,4.9,Alex,"Running 4x8gb of this RAM, great RAM",5,"March 19, 2021",the United States,"I must say I really like these RAM sticks, I am currently running 32 gigabytes in a 4x8 configuration, that number may be a bit overkill for most users but if you are doing things like running a heavily modded Minecraft Java Edition install or running texturepacks and heavy modpacks in other games then that extra RAM does come in handy (I often use 20 of my 32 gigs when playing my modpacks)."
67,4.9,Saja,Bad silicon.,1,"February 15, 2020",the United States,"This RAM instantly caused a BSoD on my computer. I did all the usual stuff like clearing my CMOS, so I decide to make a Memtest86 live USB. It exited with too many errors (which is over 10,000 errors) after only like 15 mins. I bought these to replace some Corsair 16GB Vengeance non-RGB RAM, which I also ran through Memtest86. The other Corsair RAM passed the full suite of Memtest86 tests without a SINGLE failure. I ordered a replacement from Amazon and it has the exact same problem. Although the replacement sticks didn't cause enough failures to cause Memtest86 to exit, it was not a negligible amount; over 500 errors per pass. RAM that is advertised as ""pro"" should fail Memtest86 ZERO times, as the other Corsair Vengeance (which is $20 less) did."
68,4.9,Justin M.,Beautiful,5,"June 16, 2020",the United States,"Out of the box, the sticks were able to boot up with the specified timings (returned previous RAM from another source because of they did not boot up to the specified timings) so win there. Will try to tighten the timings and see if I can get a little more out of it. It is indeed Samsung B-die so I'm hoping for a little bit of overclocking room, but besides the performance, the RGB looks amazing. The lowest brightness settings still lights up all of the pc case and the preset options on iCue make it really stunning to look at. The colors look really good and give the case a great aesthetic feel."
69,4.9,Justin Burgess,"Fast, reliable, and look decent but..",4,"June 14, 2021",the United States,"I've heard so many people talk about these, they've got fantastic reviews, and Corsair is well known so I decided to get them. They feel high quality, they hit 3600 no problem, and the LEDs look amazing.... in white, but every other color is rather meh. Maybe I had too high of expectations cuz don't get me wrong they look great. Just not as great as I was hoping for. I wish I would have went with TT or Crucial as I think those look better personally. To each their own but I would recommend them if you're doing an all Corsair build cuz iCUE is pretty dope."
70,4.9,ForrestA,"Good price, lights up well, work flawlessly with Asus Aura/Armoury Crate",5,"January 20, 2020",the United States,This review is for: CORSAIR VENGEANCE RGB PRO 16GB (2x8GB) DDR4 3200MHz C16 LED Desktop Memory - White
71,4.9,Wynn,Perfect fit,5,"April 6, 2021",the United States,If you didn’t know the big difference and the other vengeance ram is the height. Allowing a little more flexibility when choosing a cooler for your cpu. Was easy to install. Looks great! No problems so far!
72,4.9,Michael S,It's pretty,5,"May 8, 2020",the United States,"I mean it is RAM, there is not much to actually review here. It is a market that is kind of niche for people who build PCs. You should already know what you are buying. IF you are kind of new to PC building, just don't buy super cheap knock off ram. Other than that if you match the Mhz and the version of DDR they are mostly the same, yes nuance differences, but RAM is RAM. So the things to look for are just price and looks. These are sexy and I love the software from Corsair. Corsair has tons of other lighting products. It is just a good ecosystem and that is what you are really paying for here in the premium."
73,4.9,Amazon Customer,"Ryzen Compatible, Cool RGB",5,"December 29, 2021",the United States,"Downloading the ICUE software also installed the plugin for armory crate. Although the ICUE software also has some pretty cool effects. I enabled XMP upon installing this ram, all the timings and frequency got set and booted stable into windows. No crashes and I have ran a gamut of benchmarks. I have not experimented with altering the frequency or the timings beyond their XMP values. Its corsair ram, so its going to be a quality product."
74,4.9,Amazon Customer,Corsair never fails to disappoint,5,"December 29, 2018",the United States,Corsair knocked it out of the park with this memory. Not only does it have the great Corsair build quality. It looks absolutely fantastic!
75,4.9,Amazon buyer,Good quality,5,"December 13, 2021",the United States,The media could not be loaded.
76,4.9,Kerry,Only 2933Mhz on four RGB Pro sticks with Ryzen,3,"June 19, 2019",the United States,Bought two 2x8GB 3200Mhz C16 RGB Pro sticks two weeks apart.  Prior to this I was running Corsair LPX Vengeance 3200Mhz C16 NON RGB just fine at 3200Mhz timings.
77,4.9,K,Amazon failed in packaging sensitive hardware,3,"August 9, 2020",the United States,"Corsair makes excellent RAM and I am sure this product would have been excellent like most of their products, however, Amazon shipped the RAM to me in a box without any protective packaging. I'm returning the item and may order at a later date as to not recieve the same possibly defective hardware."
78,4.9,Blaydese,I cannot believe I spent this much money on RAMM...,5,"December 31, 2020",the United States,"My build needs to last me for 8-10 years each time, so I'm hoping a REALLY FUTURE PROOFED this build with this much RAMM in regards to 128GB and PRICE.  Wife about lost it when she saw how expensive it is."
79,4.9,Cesar M.,LO QUE ESPERABA MI HIJA,5,"August 27, 2021",the United States,"Fue instalado en el PC de escritorio y funciona a la perfección hasta ahora. Mi PC HP, comprada en Amazon vino con un RAM de 8GB; para ampliarla me recomendaron instalar las dos memorias de 8 GB que vinieron en el paquete, y retirar la que vino en la PC, para que tengan la misma frecuencia y funcionen mejor. Así que ahora tenemos una PC con 16GB de memoria RAM. Muy rápida para los trabajos de edición de videos y fotografías que necesitaba mi hija"
80,4.9,Alex,"Good performance, decent led lighting",5,"January 21, 2021",the United States,"It’s pretty good ram especially if you’ll be lucky enough to get it with Samsung b-die, it’s easier to overclock the ram. I manage to oc it from 3200mhz 16-18-18-36 to 3600mhz 18-19-19-39 running stable. Not the best ram to oc, but good enough for the price."
